name_with_owner,name,date,release_date,release_name,release_url
apache/phoenix,5.1.2,2021-05-30 15:25:10+00:00,2021-06-07 18:41:08+00:00,5.1.2,https://github.com/apache/phoenix/releases/tag/5.1.2
apache/maven-dependency-plugin,maven-dependency-plugin-3.2.0,2021-06-07 12:16:56+00:00,,,
apache/cordova-android,10.1.1,2021-09-13 06:56:27+00:00,,,
apache/incubator-kyuubi,v1.4.1-incubating-rc0,2022-01-23 05:40:35+00:00,2022-01-23 05:40:35+00:00,Apache Kyuubi(incubating) v1.4.1-incubating,https://github.com/apache/incubator-kyuubi/releases/tag/v1.4.1-incubating
apache/dubbo-proxy,,,,,
apache/iotdb,v0.12.4,2021-12-21 11:29:12+00:00,2021-12-21 11:29:18+00:00,Apache IoTDB 0.12.4,https://github.com/apache/iotdb/releases/tag/v0.12.4
apache/skywalking-nginx-lua,v0.6.0,2021-12-20 02:14:07+00:00,2021-12-20 02:17:35+00:00,0.6.0,https://github.com/apache/skywalking-nginx-lua/releases/tag/v0.6.0
apache/incubator-inlong,1.0.0-incubating-RC1,2022-02-11 05:02:16+00:00,2021-12-22 08:16:23+00:00,0.12.0,https://github.com/apache/incubator-inlong/releases/tag/0.12.0-incubating-RC0
apache/camel-k,v1.8.0,2022-01-19 15:30:33+00:00,2022-01-19 15:30:33+00:00,v.1.8.0,https://github.com/apache/camel-k/releases/tag/v1.8.0
apache/commons-collections,commons-commons-collections-4.4,2019-07-05 17:58:03+00:00,,,
apache/camel,camel-3.15.0,2022-01-31 13:09:42+00:00,,,
apache/skywalking-rocketbot-ui,v8.9.1,2021-11-22 06:29:24+00:00,2021-11-22 06:29:24+00:00,8.9.1,https://github.com/apache/skywalking-rocketbot-ui/releases/tag/v8.9.1
apache/plc4x,v0.9.1,2021-12-14 15:15:47+00:00,2021-12-14 15:21:36+00:00,0.9.1,https://github.com/apache/plc4x/releases/tag/v0.9.1
apache/ozone,ozone-1.2.1,2021-12-14 23:20:27+00:00,,,
apache/rocketmq-spring,rocketmq-spring-all-2.2.1,2021-08-31 03:37:32+00:00,2021-08-31 03:37:47+00:00,rocketmq-spring-all-2.2.1,https://github.com/apache/rocketmq-spring/releases/tag/rocketmq-spring-all-2.2.1
apache/flink-statefun-playground,,,,,
apache/skywalking-java,v8.9.0,2022-01-28 12:45:15+00:00,2022-01-28 12:45:34+00:00,8.9.0,https://github.com/apache/skywalking-java/releases/tag/v8.9.0
apache/skywalking-kubernetes,v4.2.0,2021-12-02 01:53:55+00:00,2021-12-02 02:31:16+00:00,4.2.0,https://github.com/apache/skywalking-kubernetes/releases/tag/v4.2.0
apache/privacy-website,,,,,
apache/incubator-pagespeed-ngx,v1.14.33.1-RC1,2020-08-03 14:34:50+00:00,2015-10-08 21:28:27+00:00,1.9.32.10,https://github.com/apache/incubator-pagespeed-ngx/releases/tag/v1.9.32.10-beta
apache/skywalking-booster-ui,,,,,
apache/commons-codec,commons-codec-1.16-rc1,2022-01-22 05:03:02+00:00,,,
apache/apisix-go-plugin-runner,v0.2.0,2021-08-31 02:37:05+00:00,2021-08-31 02:37:05+00:00,v0.2.0,https://github.com/apache/apisix-go-plugin-runner/releases/tag/v0.2.0
apache/solr,history/branches/lucene-solr/reference_impl,2021-03-10 03:38:44+00:00,,,
apache/skywalking-docker,,,,,
apache/openmeetings,6.2.0,2021-10-21 07:52:15+00:00,2021-10-21 07:52:15+00:00,6.2.0,https://github.com/apache/openmeetings/releases/tag/6.2.0
apache/pdfbox,2.0.25,2021-12-13 18:49:49+00:00,,,
apache/accumulo,rel/2.0.1,2020-12-21 18:29:47+00:00,,,
apache/madlib,rc/1.19.0-rc1,2021-12-15 17:19:39+00:00,,,
apache/rocketmq-client-go,v2.1.1-rc2,2021-09-10 03:20:40+00:00,2021-03-16 12:24:24+00:00,rocketmq-client-go-2.1.0,https://github.com/apache/rocketmq-client-go/releases/tag/v2.1.0
apache/commons-lang,rel/commons-lang-3.12.0,2021-02-26 19:15:40+00:00,,,
apache/dubbo-getty,v1.4.7,2022-01-15 10:33:06+00:00,2022-01-18 05:47:47+00:00,v1.4.7,https://github.com/apache/dubbo-getty/releases/tag/v1.4.7
apache/isis,isis-2.0.0-M7-RC1,2022-02-12 15:40:06+00:00,,,
